[2025-04-23T19:29:57.482Z] 🔄 Starting historical prediction analysis...
[2025-04-23T19:29:57.526Z] Analyzing predictions from Apr 10, 2025 to Apr 23, 2025
[2025-04-23T19:29:57.601Z] Found 2286 total predictions
[2025-04-23T19:29:57.602Z] Processing batch 1 of 229
[2025-04-23T19:30:08.556Z] Processing batch 2 of 229
[2025-04-23T19:30:19.317Z] Processing batch 3 of 229
[2025-04-23T19:30:30.095Z] Processing batch 4 of 229
[2025-04-23T19:30:40.855Z] Processing batch 5 of 229
[2025-04-23T19:30:51.620Z] Processing batch 6 of 229
[2025-04-23T19:31:02.421Z] Processing batch 7 of 229
[2025-04-23T19:31:13.474Z] Processing batch 8 of 229
[2025-04-23T19:31:24.189Z] Processing batch 9 of 229
[2025-04-23T19:31:35.031Z] Processing batch 10 of 229
[2025-04-23T19:31:45.814Z] Processing batch 11 of 229
[2025-04-23T19:31:57.189Z] Processing batch 12 of 229
[2025-04-23T19:32:07.919Z] Processing batch 13 of 229
[2025-04-23T19:32:18.638Z] Processing batch 14 of 229
[2025-04-23T19:32:29.355Z] Processing batch 15 of 229
[2025-04-23T19:32:40.075Z] Processing batch 16 of 229
[2025-04-23T19:32:50.822Z] Processing batch 17 of 229
[2025-04-23T19:33:01.534Z] Processing batch 18 of 229
[2025-04-23T19:33:12.285Z] Processing batch 19 of 229
[2025-04-23T19:33:23.024Z] Processing batch 20 of 229
[2025-04-23T19:33:33.722Z] Processing batch 21 of 229
[2025-04-23T19:33:44.484Z] Processing batch 22 of 229
[2025-04-23T19:33:55.208Z] Processing batch 23 of 229
[2025-04-23T19:34:05.957Z] Processing batch 24 of 229
[2025-04-23T19:34:16.742Z] Processing batch 25 of 229
[2025-04-23T19:34:27.497Z] Processing batch 26 of 229
[2025-04-23T19:34:38.211Z] Processing batch 27 of 229
[2025-04-23T19:34:48.966Z] Processing batch 28 of 229
[2025-04-23T19:34:59.688Z] Processing batch 29 of 229
[2025-04-23T19:35:10.485Z] Processing batch 30 of 229
[2025-04-23T19:35:21.240Z] Processing batch 31 of 229
[2025-04-23T19:35:31.998Z] Processing batch 32 of 229
[2025-04-23T19:35:42.716Z] Processing batch 33 of 229
[2025-04-23T19:35:53.486Z] Processing batch 34 of 229
[2025-04-23T19:36:04.212Z] Processing batch 35 of 229
[2025-04-23T19:36:14.920Z] Processing batch 36 of 229
[2025-04-23T19:36:25.673Z] Processing batch 37 of 229
[2025-04-23T19:36:36.417Z] Processing batch 38 of 229
